index,Unnamed: 0,Date,Year,Month,Global Temperature Anomalies,Global Precipitation,Nino 1+2 SST,Nino 1+2 SST Anomalies,Nino 3 SST,Nino 3 SST Anomalies,Nino 3.4 SST,Nino 3.4 SST Anomalies,Nino 4 SST,Nino 4 SST Anomalies,TNI OISST,TNI HadISST,PNA,OLR,SOI,Season (2-Month),MEI.ext,MEI.v2,Season (3-Month),ONI,Season (12-Month),ENSO Phase-Intensity,high,low
191,191,1965-12-01,1965,DEC,-0.03,,,,,,,,,,-0.56,-0.56,-1.56,,0.2,ND,1.726,,NDJ,1.7,1965-1966,SE,38.774193548387096,24.23225806451613
192,192,1966-01-01,1966,JAN,-0.15,,,,,,,,,,-1.127,-1.127,-0.15,,-1.3,DJ,1.682,,DJF,1.4,1966-1967,WE,24.741935483870968,8.574193548387097
193,193,1966-02-01,1966,FEB,-0.03,,,,,,,,,,-1.485,-1.485,-2.05,,-0.2,JF,1.526,,JFM,1.2,1966-1967,WE,30.821428571428573,16.071428571428573
194,194,1966-03-01,1966,MAR,0.0,,,,,,,,,,-1.806,-1.806,0.43,,-0.9,FM,1.213,,FMA,1.0,1966-1967,WE,44.80645161290322,26.23225806451613
195,195,1966-04-01,1966,APR,-0.12,,,,,,,,,,-2.177,-2.177,-0.54,,-0.2,MA,0.889,,MAM,0.7,1966-1967,WE,51.5,31.44666666666667
196,196,1966-05-01,1966,MAY,-0.05,,,,,,,,,,-2.362,-2.362,-0.15,,-0.4,AM,0.823,,AMJ,0.4,1966-1967,WE,61.41935483870968,40.29032258064516
197,197,1966-06-01,1966,JUN,0.04,,,,,,,,,,-2.009,-2.009,0.1,,0.3,MJ,0.648,,MJJ,0.2,1966-1967,WE,80.5,57.9
198,198,1966-07-01,1966,JUL,0.13,,,,,,,,,,-1.867,-1.867,-1.18,,0.1,JJ,0.357,,JJA,0.2,1966-1967,WE,85.29032258064517,61.354838709677416
199,199,1966-08-01,1966,AUG,-0.02,,,,,,,,,,-1.699,-1.699,1.26,,0.6,JA,0.264,,JAS,0.1,1966-1967,WE,79.09677419354838,57.87096774193548
200,200,1966-09-01,1966,SEP,0.0,,,,,,,,,,-1.408,-1.408,0.63,,-0.2,AS,0.076,,ASO,-0.1,1966-1967,WE,71.13333333333334,48.56666666666667
201,201,1966-10-01,1966,OCT,-0.14,,,,,,,,,,-1.178,-1.178,-0.61,,-0.1,SO,-0.05,,SON,-0.1,1966-1967,WE,59.74193548387097,38.32258064516129
202,202,1966-11-01,1966,NOV,-0.03,,,,,,,,,,-0.774,-0.774,-1.96,,0.0,ON,0.07,,OND,-0.2,1966-1967,WE,46.46666666666667,30.680000000000003
203,203,1966-12-01,1966,DEC,-0.02,,,,,,,,,,-0.224,-0.224,-0.21,,-0.3,ND,0.023,,NDJ,-0.3,1966-1967,WE,32.16129032258065,17.729032258064517
204,204,1967-01-01,1967,JAN,-0.09,,,,,,,,,,-0.079,-0.079,-1.16,,1.7,DJ,-0.208,,DJF,-0.4,1967-1968,N,33.25806451612903,17.41290322580645
205,205,1967-02-01,1967,FEB,-0.18,,,,,,,,,,-0.022,-0.022,-0.2,,1.7,JF,-0.501,,JFM,-0.5,1967-1968,N,26.607142857142858,6.914285714285716
206,206,1967-03-01,1967,MAR,0.04,,,,,,,,,,-0.14,-0.14,-2.25,,1.2,FM,-0.753,,FMA,-0.5,1967-1968,N,40.03225806451613,23.200000000000003
207,207,1967-04-01,1967,APR,-0.01,,,,,,,,,,-0.461,-0.461,-1.91,,0.0,MA,-0.727,,MAM,-0.5,1967-1968,N,56.93333333333333,39.0
208,208,1967-05-01,1967,MAY,0.18,,,,,,,,,,-0.974,-0.974,-0.8,,0.0,AM,-0.55,,AMJ,-0.2,1967-1968,N,62.61290322580645,42.61290322580645
209,209,1967-06-01,1967,JUN,0.0,,,,,,,,,,-1.254,-1.254,-0.33,,0.6,MJ,-0.582,,MJJ,0.0,1967-1968,N,80.1,60.93333333333333
210,210,1967-07-01,1967,JUL,0.02,,,,,,,,,,-1.449,-1.449,-1.24,,0.2,JJ,-0.741,,JJA,0.1,1967-1968,N,78.06451612903226,60.41935483870968
211,211,1967-08-01,1967,AUG,0.03,,,,,,,,,,-1.543,-1.543,-0.35,,0.7,JA,-0.828,,JAS,-0.2,1967-1968,N,77.45161290322581,53.83870967741935
212,212,1967-09-01,1967,SEP,0.01,,,,,,,,,,-1.674,-1.674,0.11,,0.5,AS,-0.837,,ASO,-0.3,1967-1968,N,69.96666666666667,46.93333333333333
213,213,1967-10-01,1967,OCT,0.12,,,,,,,,,,-1.722,-1.722,1.1,,0.1,SO,-0.785,,SON,-0.4,1967-1968,N,56.87096774193548,40.65161290322581
214,214,1967-11-01,1967,NOV,-0.05,,,,,,,,,,-1.619,-1.619,-0.35,,-0.4,ON,-0.591,,OND,-0.3,1967-1968,N,38.73333333333333,27.36
215,215,1967-12-01,1967,DEC,0.02,,,,,,,,,,-1.545,-1.545,-1.12,,-0.6,ND,-0.372,,NDJ,-0.4,1967-1968,N,34.516129032258064,21.787096774193547
216,216,1968-01-01,1968,JAN,-0.22,,,,,,,,,,-1.335,-1.335,-1.78,,0.5,DJ,-0.456,,DJF,-0.6,1968-1969,ME,27.61290322580645,11.10967741935484
217,217,1968-02-01,1968,FEB,-0.14,,,,,,,,,,-1.172,-1.172,1.11,,1.3,JF,-0.62,,JFM,-0.7,1968-1969,ME,28.96551724137931,11.958620689655174
218,218,1968-03-01,1968,MAR,0.16,,,,,,,,,,-1.108,-1.108,0.13,,0.1,FM,-0.658,,FMA,-0.6,1968-1969,ME,46.74193548387097,25.15483870967742
219,219,1968-04-01,1968,APR,-0.05,,,,,,,,,,-1.245,-1.245,-1.11,,0.0,MA,-0.759,,MAM,-0.4,1968-1969,ME,59.03333333333333,37.85333333333333
220,220,1968-05-01,1968,MAY,-0.06,,,,,,,,,,-1.197,-1.197,0.23,,1.2,AM,-0.733,,AMJ,0.0,1968-1969,ME,62.354838709677416,44.08387096774193
221,221,1968-06-01,1968,JUN,-0.02,,,,,,,,,,-1.07,-1.07,-0.08,,1.1,MJ,-0.525,,MJJ,0.3,1968-1969,ME,75.86666666666666,57.5
222,222,1968-07-01,1968,JUL,-0.09,,,,,,,,,,-0.69,-0.69,-0.04,,0.7,JJ,-0.544,,JJA,0.6,1968-1969,ME,80.3225806451613,60.483870967741936
223,223,1968-08-01,1968,AUG,-0.02,,,,,,,,,,-0.534,-0.534,1.3,,0.3,JA,-0.338,,JAS,0.5,1968-1969,ME,79.74193548387096,59.74193548387097
224,224,1968-09-01,1968,SEP,-0.09,,,,,,,,,,-0.441,-0.441,-0.87,,-0.3,AS,0.204,,ASO,0.5,1968-1969,ME,72.76666666666667,52.833333333333336
225,225,1968-10-01,1968,OCT,0.05,,,,,,,,,,-0.398,-0.398,0.45,,-0.1,SO,0.619,,SON,0.6,1968-1969,ME,59.903225806451616,41.251612903225805
226,226,1968-11-01,1968,NOV,-0.1,,,,,,,,,,-0.785,-0.785,0.83,,-0.3,ON,0.726,,OND,0.7,1968-1969,ME,44.06666666666667,28.933333333333334
227,227,1968-12-01,1968,DEC,-0.11,,,,,,,,,,-1.508,-1.508,-1.74,,0.2,ND,0.655,,NDJ,1.0,1968-1969,ME,31.32258064516129,17.393548387096775
228,228,1969-01-01,1969,JAN,-0.08,,,,,,,,,,-1.509,-1.509,-2.96,,-1.5,DJ,0.755,,DJF,1.1,1969-1970,WE,28.29032258064516,13.941935483870967
229,229,1969-02-01,1969,FEB,-0.07,,,,,,,,,,-1.156,-1.156,-1.97,,-0.5,JF,1.04,,JFM,1.1,1969-1970,WE,33.357142857142854,15.528571428571428
230,230,1969-03-01,1969,MAR,0.08,,,,,,,,,,-0.713,-0.713,0.47,,0.4,FM,1.027,,FMA,1.0,1969-1970,WE,40.516129032258064,19.12903225806452
231,231,1969-04-01,1969,APR,0.19,,,,,,,,,,0.053,0.053,0.48,,-0.4,MA,0.941,,MAM,0.8,1969-1970,WE,58.03333333333333,36.36666666666667
232,232,1969-05-01,1969,MAY,0.22,,,,,,,,,,0.623,0.623,1.02,,-0.2,AM,1.092,,AMJ,0.6,1969-1970,WE,67.38709677419355,46.08387096774193
233,233,1969-06-01,1969,JUN,0.1,,,,,,,,,,0.491,0.491,2.11,,0.2,MJ,1.219,,MJJ,0.4,1969-1970,WE,70.66666666666667,53.56666666666667
234,234,1969-07-01,1969,JUL,0.03,,,,,,,,,,0.191,0.191,0.51,,-0.5,JJ,1.077,,JJA,0.4,1969-1970,WE,80.06451612903226,62.516129032258064
235,235,1969-08-01,1969,AUG,0.06,,,,,,,,,,-0.1,-0.1,-0.69,,-0.1,JA,0.906,,JAS,0.5,1969-1970,WE,84.70967741935483,61.45161290322581
236,236,1969-09-01,1969,SEP,0.11,,,,,,,,,,-0.463,-0.463,1.31,,-1.0,AS,0.857,,ASO,0.8,1969-1970,WE,74.53333333333333,54.8
237,237,1969-10-01,1969,OCT,0.13,,,,,,,,,,-0.5,-0.5,0.55,,-0.9,SO,0.831,,SON,0.9,1969-1970,WE,58.96774193548387,40.283870967741926
238,238,1969-11-01,1969,NOV,0.14,,,,,,,,,,-0.302,-0.302,0.13,,-0.1,ON,0.76,,OND,0.8,1969-1970,WE,42.73333333333333,27.65333333333334
239,239,1969-12-01,1969,DEC,0.29,,,,,,,,,,-0.348,-0.348,1.53,,0.4,ND,0.744,,NDJ,0.6,1969-1970,WE,31.870967741935484,14.522580645161293
240,240,1970-01-01,1970,JAN,0.17,,,,,,,,,,-0.773,-0.773,0.12,,-1.1,DJ,0.675,,DJF,0.5,1970-1971,ML,23.870967741935484,8.419354838709678
241,241,1970-02-01,1970,FEB,0.21,,,,,,,,,,-1.024,-1.024,1.01,,-1.0,JF,0.575,,JFM,0.3,1970-1971,ML,31.642857142857142,14.35
242,242,1970-03-01,1970,MAR,0.11,,,,,,,,,,-1.386,-1.386,0.49,,0.6,FM,0.439,,FMA,0.3,1970-1971,ML,36.774193548387096,18.554838709677416
243,243,1970-04-01,1970,APR,0.1,,,,,,,,,,-1.722,-1.722,-0.66,,-0.1,MA,0.309,,MAM,0.2,1970-1971,ML,54.56666666666667,37.34
244,244,1970-05-01,1970,MAY,0.03,,,,,,,,,,-1.993,-1.993,-0.5,,0.4,AM,0.09,,AMJ,0.0,1970-1971,ML,68.25806451612904,49.67741935483871
245,245,1970-06-01,1970,JUN,0.02,,,,,,,,,,-1.865,-1.865,0.23,,1.0,MJ,-0.501,,MJJ,-0.3,1970-1971,ML,76.36666666666666,55.23333333333333
246,246,1970-07-01,1970,JUL,0.05,,,,,,,,,,-1.723,-1.723,0.74,,-0.4,JJ,-1.153,,JJA,-0.6,1970-1971,ML,79.38709677419355,61.935483870967744
247,247,1970-08-01,1970,AUG,-0.05,,,,,,,,,,-1.283,-1.283,-0.6,,0.6,JA,-1.347,,JAS,-0.8,1970-1971,ML,79.51612903225806,57.83870967741935
248,248,1970-09-01,1970,SEP,0.1,,,,,,,,,,-0.958,-0.958,-0.39,,1.2,AS,-1.228,,ASO,-0.8,1970-1971,ML,70.83333333333333,53.266666666666666
249,249,1970-10-01,1970,OCT,0.01,,,,,,,,,,-0.276,-0.276,-0.95,,1.0,SO,-1.1,,SON,-0.7,1970-1971,ML,60.54838709677419,43.83870967741935
250,250,1970-11-01,1970,NOV,0.01,,,,,,,,,,0.231,0.231,-1.15,,1.6,ON,-1.06,,OND,-0.9,1970-1971,ML,44.5,33.22
251,251,1970-12-01,1970,DEC,-0.09,,,,,,,,,,0.454,0.454,-1.09,,1.9,ND,-1.128,,NDJ,-1.2,1970-1971,ML,33.25806451612903,17.10967741935484
252,252,1971-01-01,1971,JAN,-0.04,,,,,,,,,,0.566,0.566,-2.43,,0.4,DJ,-1.281,,DJF,-1.4,1971-1972,WL,25.193548387096776,11.761290322580644
253,253,1971-02-01,1971,FEB,-0.15,,,,,,,,,,0.862,0.862,-0.16,,2.0,JF,-1.563,,JFM,-1.4,1971-1972,WL,31.785714285714285,19.092857142857145
254,254,1971-03-01,1971,MAR,-0.11,,,,,,,,,,0.691,0.691,-0.28,,2.3,FM,-1.873,,FMA,-1.1,1971-1972,WL,38.25806451612903,21.277419354838703
255,255,1971-04-01,1971,APR,-0.06,,,,,,,,,,0.4,0.4,0.23,,1.7,MA,-1.979,,MAM,-0.9,1971-1972,WL,55.23333333333333,33.13333333333334
256,256,1971-05-01,1971,MAY,-0.01,,,,,,,,,,0.397,0.397,1.09,,0.9,AM,-1.764,,AMJ,-0.7,1971-1972,WL,67.87096774193549,43.26451612903226
257,257,1971-06-01,1971,JUN,-0.09,,,,,,,,,,0.211,0.211,0.51,,0.4,MJ,-1.534,,MJJ,-0.7,1971-1972,WL,81.36666666666666,60.6
258,258,1971-07-01,1971,JUL,-0.03,,,,,,,,,,0.1,0.1,-1.74,,0.2,JJ,-1.304,,JJA,-0.8,1971-1972,WL,77.80645161290323,57.935483870967744
259,259,1971-08-01,1971,AUG,0.0,,,,,,,,,,0.097,0.097,-0.81,,1.5,JA,-1.041,,JAS,-0.8,1971-1972,WL,79.41935483870968,56.0
260,260,1971-09-01,1971,SEP,0.04,,,,,,,,,,0.145,0.145,0.15,,1.4,AS,-1.296,,ASO,-0.8,1971-1972,WL,73.16666666666667,56.06666666666667
261,261,1971-10-01,1971,OCT,-0.09,,,,,,,,,,0.087,0.087,-1.35,,1.7,SO,-1.398,,SON,-0.9,1971-1972,WL,66.51612903225806,50.12903225806452
262,262,1971-11-01,1971,NOV,-0.1,,,,,,,,,,0.221,0.221,-0.26,,0.5,ON,-1.102,,OND,-1.0,1971-1972,WL,45.56666666666667,29.660000000000004
